countryName,year,value
Albania,2016,92
Albania,2015,90
Albania,2014,116.65
Albania,2013,110.39
Albania,2012,94.82
Albania,2011,83.74
Algeria,2017,1104
Algeria,2016,1068
Algeria,2015,1032
Algeria,2014,1114
Algeria,2013,1089
Algeria,2012,1333
Algeria,2011,1195
Armenia,2016,15
Armenia,2015,17
Armenia,2014,20
Armenia,2013,76
Armenia,2012,72
Armenia,2011,69
Australia,2016,4030
Australia,2015,4250
Australia,2014,4108
Australia,2013,4348
Australia,2012,4349
Australia,2011,4460
Austria,2016,4503
Austria,2015,4438
Austria,2014,4529
Austria,2013,4450
Austria,2012,4343
Austria,2011,4267
Azerbaijan,2016,297
Azerbaijan,2015,378
Azerbaijan,2014,344
Azerbaijan,2013,338
Azerbaijan,2012,323
Azerbaijan,2011,351
Belarus,2016,3426
Belarus,2015,3452
Belarus,2014,3473
Belarus,2013,3051
Belarus,2012,3305
Belarus,2011,3452
Belgium,2016,13720
Belgium,2015,13179
Belgium,2014,12911
Belgium,2013,12770
Belgium,2012,11357
Belgium,2011,12829
Bosnia and Herzegovina,2016,127
Bosnia and Herzegovina,2015,118
Bosnia and Herzegovina,2014,108
Bosnia and Herzegovina,2013,104
Bosnia and Herzegovina,2012,107
Bosnia and Herzegovina,2011,89
Botswana,2016,23
Botswana,2015,23
Botswana,2014,23
Brazil,2017,21585
Brazil,2016,22102
Brazil,2015,22562
Brazil,2014,22361
Brazil,2013,22817
Brazil,2012,24123
Brazil,2011,23420
Brunei Darussalam,2015,30
Brunei Darussalam,2014,32
Brunei Darussalam,2013,9
Bulgaria,2016,1262
Bulgaria,2015,1323
Bulgaria,2014,1236
Bulgaria,2013,1234
Bulgaria,2012,1156
Bulgaria,2011,1005
Cameroon,2014,1
Canada,2016,21395
Canada,2015,20308
Canada,2014,19227
Canada,2013,16754
Canada,2012,18210
Canada,2011,19565
Chile,2016,43
Chile,2015,52
Chile,2014,49
Chile,2013,172
Chile,2012,215
Chile,2011,331
China,2016,487462.9
China,2015,475403.6
China,2014,462778
China,2013,434137.6
China,2012,393615.4
China,2011,352832.2
Colombia,2016,2746
Colombia,2015,2171
Colombia,2014,2328
Colombia,2013,4847
Colombia,2012,4223
Colombia,2011,4323
Costa Rica,2016,393.9963889
Costa Rica,2015,376.3647222
Costa Rica,2014,373.241944
Costa Rica,2013,381.553611
Costa Rica,2012,380.587778
Costa Rica,2011,370.143056
Côte d'Ivoire,2016,110
Côte d'Ivoire,2015,102
Côte d'Ivoire,2014,95
Côte d'Ivoire,2013,96
Côte d'Ivoire,2012,88
Côte d'Ivoire,2011,66
Croatia,2016,305
Croatia,2015,306
Croatia,2014,272
Croatia,2013,269
Croatia,2012,257
Croatia,2011,410
Cyprus,2016,43
Cyprus,2015,40
Cyprus,2014,38
Cyprus,2013,35
Cyprus,2012,32
Cyprus,2011,29
Czechia,2016,3450
Czechia,2015,3538
Czechia,2014,3721
