countryName,year,value
Albania,2016,94
Albania,2015,92
Algeria,2017,4268
Algeria,2016,1632
Algeria,2015,1516
Algeria,2014,1420
Algeria,2013,1357
Algeria,2012,3449
Algeria,2011,3361
Andorra,2017,3.67
Andorra,2016,3.799
Andorra,2015,3.9
Andorra,2014,3.6
Andorra,2013,3.7
Andorra,2012,4.4
Andorra,2011,4.8
Armenia,2016,31
Armenia,2015,30
Armenia,2014,30
Armenia,2013,23
Armenia,2012,22
Armenia,2011,21
Australia,2016,189
Australia,2015,166
Australia,2014,172
Australia,2013,139
Australia,2012,79
Australia,2011,81
Austria,2016,737
Austria,2015,706
Austria,2014,737
Austria,2013,681
Austria,2012,643
Austria,2011,640
Azerbaijan,2016,651
Azerbaijan,2015,540
Azerbaijan,2014,595
Azerbaijan,2013,537
Azerbaijan,2012,501
Azerbaijan,2011,490
Belarus,2016,255
Belarus,2015,259
Belarus,2014,300
Belarus,2013,306
Belarus,2012,304
Belarus,2011,363
Belgium,2016,861
Belgium,2015,854
Belgium,2014,806
Belgium,2013,929
Belgium,2012,798
Belgium,2011,900
Bosnia and Herzegovina,2016,65
Bosnia and Herzegovina,2015,68
Bosnia and Herzegovina,2014,61
Bosnia and Herzegovina,2013,60
Bosnia and Herzegovina,2012,86
Bosnia and Herzegovina,2011,84
Botswana,2016,6
Botswana,2015,6
Botswana,2014,6
Bulgaria,2016,251
Bulgaria,2015,261
Bulgaria,2014,260
Bulgaria,2013,299
Bulgaria,2012,277
Bulgaria,2011,368
Colombia,2016,105
Colombia,2015,83
Colombia,2014,70
Colombia,2013,52
Colombia,2012,45
Colombia,2011,35
Côte d'Ivoire,2016,57
Côte d'Ivoire,2015,53
Côte d'Ivoire,2014,49
Côte d'Ivoire,2013,50
Côte d'Ivoire,2012,46
Côte d'Ivoire,2011,34
Croatia,2016,78
Croatia,2015,76
Croatia,2014,81
Croatia,2013,85
Croatia,2012,92
Croatia,2011,96
Cuba,2017,103.5
Cuba,2016,86.5
Cuba,2015,72.2
Cuba,2014,69.1
Cuba,2013,66.8
Cuba,2012,64.8
Cuba,2011,63.5
Cyprus,2016,4
Cyprus,2015,4
Cyprus,2014,5
Cyprus,2013,6
Cyprus,2012,10
Cyprus,2011,12
Czechia,2016,492
Czechia,2015,476
Czechia,2014,450
Czechia,2013,424
Czechia,2012,456
Czechia,2011,492
Denmark,2016,373
Denmark,2015,361
Denmark,2014,357
Denmark,2013,361
Denmark,2012,374
Denmark,2011,357
El Salvador,2016,34
El Salvador,2014,1
El Salvador,2013,58
El Salvador,2012,0
El Salvador,2011,9
Estonia,2016,83
Estonia,2015,81
Estonia,2014,78
Estonia,2013,84
Estonia,2012,82
Estonia,2011,71
Finland,2016,416
Finland,2015,372
Finland,2014,433
Finland,2013,378
Finland,2012,368
Finland,2011,349
France,2016,6873
France,2015,6738
France,2014,6895
France,2013,7755
France,2012,7758
France,2011,7440
Gabon,2016,90
Gabon,2015,82
Gabon,2014,80
Gabon,2013,76
Gabon,2012,72
Gabon,2011,68
Georgia,2016,131.9
Georgia,2015,128.7
Georgia,2014,371
Georgia,2013,87
Georgia,2012,0
Georgia,2011,0
