countryName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046
Albania,7.5,3.35,3.71,2.55,1.42,1,1.77,2.22,3.35,3.835543845
Algeria,2.360134861,1.632243838,3.634145353,2.891865995,3.374768651,2.767638867,3.789121212,3.763466958,3.3,1.600000001
American Samoa,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.248049922,-2.619414484,-5.379746835
Andorra,-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.873196616
Angola,11.16613833,0.858712613,4.859219584,3.471981378,8.542147334,4.954590476,4.822625551,0.943575613,-2.580097243,-0.147207422
Antigua and Barbuda,-0.03013301,-12.10753711,-7.200024968,-2.07912678,3.506610269,-0.103866074,4.658128449,4.025739082,5.589739135,3.032606112
Argentina,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-1.82254217,2.854466137
Armenia,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.3,3.6,3.2,0.2,7.5
Aruba,-0.090707754,-10.51974761,-3.685029581,3.44605475,-1.369863014,4.198232323,0.84822781,-0.450585761,-0.211225106,1.330511037
Australia,3.65776676,1.922727293,2.052942004,2.451105083,3.891940026,2.639482357,2.558337523,2.351136441,2.827310511,1.957575422
Austria,1.460425193,-3.764580483,1.837094592,2.922797636,0.680444374,0.025504101,0.828733875,1.091854232,1.450915438,3.035272679
Azerbaijan,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,1.099999809,-3.100000202,0.099999814
"Bahamas, The",-2.323966973,-4.175260401,1.538777407,0.612897452,3.08668686,-0.410428618,-0.147988573,1.044959524,-1.689549856,1.437191339
Bahrain,6.245128341,2.539772469,4.334407088,1.983823256,3.732251521,5.416503715,4.34984233,2.861967825,3.215933639,3.884830534
Bangladesh,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013610365,6.061059359,6.552652796,7.113489474,7.284184092
Barbados,0.1232069,-3.972927837,0.265446224,0.657294139,0.281153637,0.009044044,0.018086453,0.904159132,2.007168459,1
Belarus,10.1999996,0.199995239,7.798266823,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.421904374
Belgium,0.783173038,-2.253174635,2.744213272,1.798302659,0.234796924,0.200650444,1.293265235,1.426956809,1.412292015,1.729766762
Belize,3.228855669,0.670801477,3.383471706,2.162606822,2.937812628,0.851934628,3.692371465,3.431950484,-0.58802365,1.437288946
Benin,4.889898637,2.32930121,2.110199297,2.962750351,4.816478241,7.189716312,6.351831941,2.095808383,3.96485991,5.837823305
Bhutan,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.745455168,6.644564258,8.022101221,4.629101391
Bolivia,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,4.857187895,4.263919404,4.195207019
Bosnia and Herzegovina,5.4267266,-3.002752537,0.872151023,0.958953088,-0.821729266,2.349396075,1.149622102,3.076822671,3.144069998,3.186202561
Botswana,6.245437363,-7.652310203,8.563631748,6.048316367,4.456167213,11.34342425,4.149252786,-1.697935502,4.315486504,2.360080745
Brazil,5.090857911,-0.125775154,7.541798636,3.985277615,1.933107889,3.010305581,0.508210254,-3.549767247,-3.468162856,0.976085681
Brunei Darussalam,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675,-0.566814609,-2.465514923,1.328751616
