countryName,year,value
Albania,2006,0
Albania,2005,12
Albania,2004,0
Algeria,2017,1069
Algeria,2016,1014
Algeria,2015,974
Algeria,2014,867
Algeria,2013,796
Algeria,2012,783
Algeria,2011,696
Algeria,2010,634
Algeria,2009,540
Algeria,2008,367
Algeria,2007,529
Algeria,2006,559
Algeria,2005,365
Algeria,2004,346
Algeria,2003,447
Algeria,2002,382
Algeria,2001,377
Algeria,2000,354
Algeria,1999,365
Algeria,1998,365
Algeria,1997,354
Algeria,1996,338
Algeria,1995,323
Algeria,1994,298
Algeria,1993,314
Algeria,1992,309
Algeria,1991,308
Algeria,1990,275
Argentina,2016,546
Argentina,2015,605
Argentina,2014,588
Argentina,2013,594
Argentina,2012,616
Argentina,2011,675
Argentina,2010,669
Argentina,2009,664
Argentina,2008,653
Argentina,2007,616
Argentina,2006,680
Argentina,2005,608
Argentina,2004,584
Argentina,2003,541
Argentina,2002,400
Argentina,2001,509
Argentina,2000,559
Argentina,1999,517
Argentina,1998,475
Argentina,1997,437
Argentina,1996,420
Argentina,1995,344
Argentina,1994,299
Argentina,1993,275
Argentina,1992,279
Argentina,1991,244
Argentina,1990,314
Armenia,2016,100
Armenia,2015,105
Armenia,2014,115
Armenia,2013,124
Armenia,2012,127
Armenia,2011,120
Armenia,2010,119
Armenia,2009,119
Armenia,2008,120
Armenia,2007,123
Armenia,2006,115
Armenia,2005,103
Armenia,2004,119
Armenia,2003,120
Armenia,2002,123
Armenia,2001,120
Armenia,2000,123
Armenia,1999,133
Armenia,1998,151
Armenia,1997,151
Armenia,1996,172
Armenia,1995,182
Armenia,1994,178
Armenia,1993,187
Armenia,1992,312
Australia,2016,6284
Australia,2015,5911
Australia,2014,4770
Australia,2013,4774
Australia,2012,4071
Australia,2011,3835
Australia,2010,3669
Australia,2009,4252
Australia,2008,4035
Australia,2007,3853
Australia,2006,3689
Australia,2005,3456
Australia,2004,3531
Australia,2003,3390
Australia,2002,2174
Australia,2001,2425
Australia,2000,2335
Australia,1999,2269
Australia,1998,2181
Australia,1997,2133
Australia,1996,2064
Australia,1995,1986
Australia,1994,1932
Australia,1993,1890
Australia,1992,1878
Australia,1991,1828
Australia,1990,1808
Austria,2016,3129
Austria,2015,3114
Austria,2014,3066
Austria,2013,3109
Austria,2012,3066
Austria,2011,3132
Austria,2010,3212
Austria,2009,3296
Austria,2008,3464
Austria,2007,3479
Austria,2006,3516
Austria,2005,3423
Austria,2004,3507
Austria,2003,3443
Austria,2002,3271
Austria,2001,3388
Austria,2000,3462
Austria,1999,3330
Austria,1998,3340
Austria,1997,3291
Austria,1996,3255
Austria,1995,3215
Austria,1994,3239
Austria,1993,3239
Austria,1992,3243
Austria,1991,3162
Austria,1990,2770
Azerbaijan,2016,428
Azerbaijan,2015,482
Azerbaijan,2014,536
Azerbaijan,2013,531
Azerbaijan,2012,523
Azerbaijan,2011,545
Azerbaijan,2010,545
Azerbaijan,2009,521
Azerbaijan,2008,577
Azerbaijan,2007,582
Azerbaijan,2006,650
Azerbaijan,2005,587
Azerbaijan,2004,512
Azerbaijan,2003,657
Azerbaijan,2002,477
Azerbaijan,2001,551
Azerbaijan,2000,537
Azerbaijan,1999,577
Azerbaijan,1998,710
Azerbaijan,1997,496
Azerbaijan,1996,455
Azerbaijan,1995,481
Azerbaijan,1994,551
Azerbaijan,1993,700
Belarus,2016,1181
Belarus,2015,1227
Belarus,2014,1280
Belarus,2013,1304
Belarus,2012,1402
Belarus,2011,1468
Belarus,2010,1613
Belarus,2009,1529
Belarus,2008,1803
Belarus,2007,1831
Belarus,2006,2023
Belarus,2005,2098
Belarus,2004,2146
Belarus,2003,2207
Belarus,2002,2231
Belarus,2001,1961
Belarus,2000,1917
Belarus,1999,1723
Belarus,1998,1697
Belarus,1997,1715
Belarus,1996,1824
Belarus,1995,1832
Belarus,1994,2173
Belarus,1993,2029
Belarus,1992,1200
Belgium,2016,1631
Belgium,2015,1585
Belgium,2014,1569
Belgium,2013,1686
Belgium,2012,1581
Belgium,2011,1631
Belgium,2010,1736
Belgium,2009,1762
Belgium,2008,1723
Belgium,2007,1675
Belgium,2006,1608
Belgium,2005,1695
Belgium,2004,1508
Belgium,2003,1494
Belgium,2002,1456
Belgium,2001,1467
Belgium,2000,1443
Belgium,1999,1404
Belgium,1998,1369
Belgium,1997,1264
Belgium,1996,1278
Belgium,1995,1464
Belgium,1994,1384
Belgium,1993,1360
Belgium,1992,1305
Belgium,1991,1276
Belgium,1990,1249
Bosnia and Herzegovina,2016,73
Bosnia and Herzegovina,2015,91
Bosnia and Herzegovina,2014,80
Bosnia and Herzegovina,2013,84
Bosnia and Herzegovina,2012,107
Bosnia and Herzegovina,2011,139
Bosnia and Herzegovina,2010,136
Bosnia and Herzegovina,2009,98
Bosnia and Herzegovina,2008,94
Brazil,2017,2055
Brazil,2016,2007
Brazil,2015,2055
Brazil,2014,1979
Brazil,2013,1884
Brazil,2012,1785
Brazil,2011,1700
Brazil,2010,1662
Brazil,2009,1591
Brazil,2008,1607
Brazil,2007,1575
Brazil,2006,1462
Brazil,2005,1188
Brazil,2004,1039
Brazil,2003,980
Brazil,2002,940
Brazil,2001,1200
Brazil,2000,1250
Brazil,1999,1180
Brazil,1998,1170
Brazil,1997,1140
Brazil,1996,1150
Brazil,1995,1211
Brazil,1994,1176
Brazil,1993,1200
Brazil,1992,1192
Brazil,1991,1081
Brazil,1990,1194
Bulgaria,2016,354
Bulgaria,2015,352
Bulgaria,2014,306
Bulgaria,2013,277
Bulgaria,2012,302
Bulgaria,2011,367
Bulgaria,2010,399
Bulgaria,2009,467
Bulgaria,2008,425
Bulgaria,2007,451
Bulgaria,2006,466
Bulgaria,2005,500
Bulgaria,2004,498
Bulgaria,2003,460
Bulgaria,2002,489
Bulgaria,2001,500
Bulgaria,2000,519
Bulgaria,1999,603
Bulgaria,1998,552
Bulgaria,1997,620
Bulgaria,1996,811
Bulgaria,1995,803
Bulgaria,1994,636
Bulgaria,1993,726
Bulgaria,1992,802
Bulgaria,1991,968
Bulgaria,1990,1090
Burkina Faso,2009,10
Burkina Faso,2008,10.4
Burkina Faso,2007,9.7
Burkina Faso,2006,10.7
Burkina Faso,2005,8.6
Burkina Faso,2004,6.2
Burkina Faso,2003,6.5
Burkina Faso,2002,7.3
Burkina Faso,2001,6.8
Burkina Faso,2000,6.6
Burkina Faso,1999,5.6
Burkina Faso,1998,5.6
Burkina Faso,1997,5.2
Burkina Faso,1996,4.5
Burkina Faso,1995,4.1
Canada,2016,6910
Canada,2015,6128
Canada,2014,5556
Canada,2013,5520
Canada,2012,4269
Canada,2011,4171
Canada,2010,4083
Canada,2009,4162
Canada,2008,4406
Canada,2007,4266
Canada,2006,4531
Canada,2005,4256
Canada,2004,4271
Canada,2003,4168
Canada,2002,4010
Canada,2001,4306
Canada,2000,4523
Canada,1999,5011
Canada,1998,5185
Canada,1997,4256
Canada,1996,3839
Canada,1995,3875
Canada,1994,3684
Canada,1993,3629
Canada,1992,3410
Canada,1991,3121
Canada,1990,3269
Chile,2016,986
Chile,2015,1088
Chile,2014,944
Chile,2013,536
Chile,2012,500
Chile,2011,478
Chile,2010,432
Chile,2009,422
Chile,2008,426
Chile,2007,408
Chile,2006,324
Chile,2005,252
Chile,2004,233
Chile,2003,220
Chile,2002,214
Chile,2001,231
Chile,2000,220
Chile,1999,193
Chile,1998,208
Chile,1997,210
Chile,1996,200
Chile,1995,200
Chile,1994,217
Chile,1993,250
Chile,1992,226
Chile,1991,223
Chile,1990,212
China,2016,125148.9
China,2015,112560.8
China,2014,105923.8
China,2013,100091.9
China,2012,91536.9
China,2011,84841.59
China,2010,73452.899
China,2009,66442.5
China,2008,57182
China,2007,54125
China,2006,56946
China,2005,52736
China,2004,44965
China,2003,40693
China,2002,30300
China,2001,30932
China,2000,28120
China,1999,25480
China,1998,25563
China,1997,11492
China,1996,10325
China,1995,18230
China,1994,16404
China,1993,14623
China,1992,7628
China,1991,6569
China,1990,5936
Colombia,2016,96
Colombia,2015,81
Colombia,2014,77
Colombia,2013,75
Colombia,2012,65
Colombia,2011,63
Colombia,2010,62
Colombia,2009,60
Colombia,2008,58
Colombia,2007,57
Colombia,2006,57
Colombia,2005,55.2
Colombia,2004,43
Colombia,2003,43
Colombia,2002,42
Colombia,2001,43
Colombia,2000,45
Colombia,1999,46
Colombia,1998,46
Colombia,1997,43
Colombia,1996,0
Colombia,1995,0
Colombia,1994,0
Colombia,1993,0
Colombia,1992,0
Colombia,1991,0
Colombia,1990,4
Costa Rica,1998,0
Costa Rica,1997,5
Costa Rica,1996,5
Costa Rica,1995,5
Costa Rica,1994,6
Costa Rica,1993,5
Costa Rica,1992,5
Costa Rica,1991,7
Costa Rica,1990,7
Côte d'Ivoire,1997,301
Côte d'Ivoire,1996,298
Côte d'Ivoire,1995,298
Côte d'Ivoire,1994,298
Côte d'Ivoire,1993,295
Côte d'Ivoire,1992,292
Côte d'Ivoire,1991,285
Côte d'Ivoire,1990,587
Croatia,2016,251
Croatia,2015,245
Croatia,2014,231
Croatia,2013,238
Croatia,2012,249
Croatia,2011,261
Croatia,2010,267
Croatia,2009,267
Croatia,2008,276
Croatia,2007,277
Croatia,2006,266
Croatia,2005,261
Croatia,2004,242
Croatia,2003,248
Croatia,2002,244
Croatia,2001,228
Croatia,2000,244
Croatia,1999,208
Croatia,1998,225
Croatia,1997,158
Croatia,1996,154
Croatia,1995,152
Croatia,1994,147
Croatia,1993,196
Croatia,1992,219
Cuba,2017,293.3
Cuba,2016,287.2
Cuba,2015,312
Cuba,2014,302.4
Cuba,2013,295.8
Cuba,2012,258
Cuba,2011,254
Cuba,2010,251
Cuba,2009,264
Cuba,2008,279
Cuba,2007,173
Cuba,2006,110
Cuba,2005,103
Cuba,2004,92
Cuba,2003,102
Cuba,2002,97
Cuba,2001,99
Cuba,2000,97
Cuba,1999,90
Cuba,1998,77
Cuba,1997,66
Cuba,1996,60
Cuba,1995,64
Cuba,1994,4
Cuba,1993,4
Cuba,1992,4
Cuba,1991,4
Cuba,1990,4
Czechia,2016,1636
Czechia,2015,1609
Czechia,2014,1559
Czechia,2013,1592
Czechia,2012,1614
Czechia,2011,1606
Czechia,2010,1629
Czechia,2009,2045
Czechia,2008,2133
Czechia,2007,2292
Czechia,2006,2203
Czechia,2005,2181
Czechia,2004,2199
Czechia,2003,2213
Czechia,2002,2153
Czechia,2001,2117
Czechia,2000,2335
Czechia,1999,2182
Czechia,1998,2311
Czechia,1997,2280
Czechia,1996,2488
Czechia,1995,2383
Czechia,1994,2539
Czechia,1993,2660
Czechia,1992,2701
Czechoslovakia (former),1991,3800
Czechoslovakia (former),1990,4331
Dem. Rep. of the Congo,2015,0
Dem. Rep. of the Congo,2014,0
Dem. Rep. of the Congo,2013,0
Dem. Rep. of the Congo,2012,15
Denmark,2016,417
Denmark,2015,397
Denmark,2014,385
Denmark,2013,386
Denmark,2012,385
Denmark,2011,397
Denmark,2010,404
Denmark,2009,395
Denmark,2008,378
Denmark,2007,356
Denmark,2006,376
Denmark,2005,375
Denmark,2004,370
Denmark,2003,353
Denmark,2002,364
Denmark,2001,348
Denmark,2000,348
Denmark,1999,341
Denmark,1998,325
Denmark,1997,282
Denmark,1996,257
Denmark,1995,237
Denmark,1994,226
Denmark,1993,212
Denmark,1992,195
Denmark,1991,199
Denmark,1990,204
Dominican Republic,2017,50.6
Dominican Republic,2016,53.6
Dominican Republic,2015,53.9
Dominican Republic,2014,52.3
Dominican Republic,2013,45.9
Dominican Republic,2012,30.8
Dominican Republic,2011,32
Dominican Republic,2010,26.71
Dominican Republic,2009,25.05
Dominican Republic,2008,2.68
Ecuador,2016,10
Ecuador,2015,10
Ecuador,2014,10
Ecuador,2013,10
Ecuador,2012,10
Ecuador,2011,10
Ecuador,2010,10
Ecuador,2009,10
Ecuador,2008,10
Ecuador,2007,10
Ecuador,2006,10
Ecuador,2005,10
Ecuador,2004,10
Ecuador,2003,10
Ecuador,2002,10
Ecuador,2001,10
Ecuador,2000,10
Ecuador,1999,10
Egypt,2016,582
Egypt,2015,601
Egypt,2014,515
Egypt,2013,441
Egypt,2012,506
Estonia,2016,48
Estonia,2015,47
Estonia,2014,50
Estonia,2013,63
Estonia,2012,79
Estonia,2011,80
Estonia,2010,89
Estonia,2009,90
Estonia,2008,80
Estonia,2007,77
Estonia,2006,83
Estonia,2005,103
Estonia,2004,79
Estonia,2003,97
Estonia,2002,97
Estonia,2001,84
Estonia,2000,91
Estonia,1999,92
Estonia,1998,108
Estonia,1997,108
Estonia,1996,155
Estonia,1995,146
Estonia,1994,160
Estonia,1993,137
Estonia,1992,368
Finland,2016,708
Finland,2015,703
Finland,2014,722
Finland,2013,733
Finland,2012,737
Finland,2011,730
Finland,2010,740
Finland,2009,716
Finland,2008,734
Finland,2007,724
Finland,2006,675
Finland,2005,648
Finland,2004,630
Finland,2003,627
Finland,2002,593
Finland,2001,565
Finland,2000,538
Finland,1999,520
Finland,1998,515
Finland,1997,495
Finland,1996,470
Finland,1995,465
Finland,1994,480
Finland,1993,450
Finland,1992,435
Finland,1991,425
Finland,1990,425
France,2016,10784
France,2015,10987
France,2014,10828
France,2013,11124
France,2012,11001
France,2011,10810
France,2010,10037
France,2009,10079
France,2008,10420
France,2007,10028
France,2006,9982
France,2005,9861
France,2004,10024
France,2003,9787
France,2002,9668
France,2001,9547
France,2000,9380
France,1999,9102
France,1998,8969
France,1997,8754
France,1996,8563
France,1995,7734
France,1994,7791
France,1993,7490
France,1992,7625
France,1991,7475
France,1990,7473
French Guiana,2012,0
French Guiana,2011,1
French Guiana,2010,1
French Guiana,2009,1
French Guiana,2008,1
French Guiana,2007,1
French Guiana,2006,1
French Guiana,2005,1
Gabon,2016,8
Gabon,2015,7
Gabon,2014,7
Gabon,2013,7
Gabon,2012,7
Gabon,2011,6
Gabon,2010,6
Gabon,2009,6
Gabon,2008,6
Gabon,2007,5
Gabon,2006,5
Gabon,2005,5
Gabon,2004,5
Gabon,2003,5
Gabon,2002,5
Gabon,2001,4
Gabon,2000,4
Gabon,1999,4
Gabon,1998,4
Gabon,1997,3
Gabon,1996,3
Gabon,1995,3
Gabon,1994,3
Georgia,2016,300.5
Georgia,2015,293.9
Georgia,2014,267
Georgia,2013,282
Georgia,2012,405
Georgia,2011,373
Georgia,2010,546
Georgia,2009,348
Georgia,2008,346
Georgia,2007,338
Georgia,2006,328
Georgia,2005,357
Georgia,2004,340
Georgia,2003,334
Georgia,2002,322
Georgia,2001,298
Georgia,2000,453
Georgia,1999,395
Georgia,1998,315
Georgia,1997,605
Georgia,1996,255
Georgia,1995,423
Georgia,1994,699
Georgia,1993,390
Georgia,1992,472
Germany,2016,11739
Germany,2015,11279
Germany,2014,11594
Germany,2013,11985
Germany,2012,12084
Germany,2011,12151
Germany,2010,12119
Germany,2009,11633
Germany,2008,11137
Germany,2007,12275
Germany,2006,12716
Germany,2005,13168
Germany,2004,12929
Germany,2003,13094
Germany,2002,16190
Germany,2001,16399
Germany,2000,15910
Germany,1999,15835
Germany,1998,16082
Germany,1997,16859
Germany,1996,16545
Germany,1995,16191
Germany,1994,15405
Germany,1993,14997
Germany,1992,14895
Germany,1991,15317
"Germany, Fed. R. (former)",1990,14000
Ghana,2016,6
Ghana,2015,4
Ghana,2014,4
Ghana,2013,4
Ghana,2012,3
Ghana,2011,0
Greece,2016,186
Greece,2015,388
Greece,2014,343
Greece,2013,267
Greece,2012,189
Greece,2011,184
Greece,2010,183
Greece,2009,232
Greece,2008,239
Greece,2007,251
Greece,2006,217
Greece,2005,199
Greece,2004,238
Greece,2003,237
Greece,2002,222
Greece,2001,214
Greece,2000,227
Greece,1999,197
Greece,1998,180
Greece,1997,167
Greece,1996,159
Greece,1995,149
Greece,1994,138
Greece,1993,125
Greece,1992,130
Greece,1991,123
Greece,1990,125
Hungary,2016,1177
Hungary,2015,1171
Hungary,2014,1156
Hungary,2013,1227
Hungary,2012,983
Hungary,2011,1117
Hungary,2010,1106
Hungary,2009,1201
Hungary,2008,1194
Hungary,2007,1222
Hungary,2006,1199
Hungary,2005,1096
Hungary,2004,1093
Hungary,2003,1045
Hungary,2002,1015
Hungary,2001,1031
Hungary,2000,1015
Hungary,1999,995
Hungary,1998,943
Hungary,1997,1027
Hungary,1996,1034
Hungary,1995,1025
Hungary,1994,1001
Hungary,1993,1023
Hungary,1992,1064
Hungary,1991,1100
Hungary,1990,1186
Iceland,2016,61
Iceland,2015,19
Iceland,2014,4
Iceland,2013,2
Iceland,2012,1
Iceland,2011,0
Iceland,2010,0
Iceland,2009,0
Iceland,2008,0
Iceland,2007,0
India,2016,17217
India,2015,16594
India,2014,16177
India,2013,15447
India,2012,14206
India,2011,14327
India,2010,14003
India,2009,12408
India,2008,12138
India,2007,11108
India,2006,10800
India,2005,9944
India,2004,9495
India,2003,9210
India,2002,8797
India,2001,8407
India,2000,8213
India,1999,8088
India,1998,7332
India,1997,6970
India,1996,6620
India,1995,6246
India,1994,5907
India,1993,5642
India,1992,5090
India,1991,4541
India,1990,4139
Indonesia,2015,257
Indonesia,2014,155
Indonesia,2013,129
Indonesia,2012,108
Indonesia,2011,88
Indonesia,2010,89
Indonesia,2009,111
Indonesia,2008,81
Iran (Islamic Rep. of),2016,436
Iran (Islamic Rep. of),2015,549
Iran (Islamic Rep. of),2014,380
Iran (Islamic Rep. of),2013,286
Iran (Islamic Rep. of),2012,370.9
Iran (Islamic Rep. of),2011,353.6
Iran (Islamic Rep. of),2010,299.5
Iran (Islamic Rep. of),2009,282.1
Iran (Islamic Rep. of),2008,246
Iran (Islamic Rep. of),2007,170
Iran (Islamic Rep. of),2006,144
Iran (Islamic Rep. of),2005,108
Iran (Islamic Rep. of),2004,90
Iran (Islamic Rep. of),2003,14
Iran (Islamic Rep. of),2002,13
Iran (Islamic Rep. of),2001,18
Iran (Islamic Rep. of),2000,13
Iran (Islamic Rep. of),1999,11
Ireland,2016,49
Ireland,2015,43
Ireland,2014,40
Ireland,2013,43
Ireland,2012,46
Ireland,2011,45
Ireland,2010,46
Ireland,2009,45
Ireland,2008,54
Ireland,2007,51
Ireland,2006,57
Ireland,2005,59
Ireland,2004,51
Ireland,2003,23
Ireland,2002,23
Ireland,2001,26
Ireland,2000,26
Ireland,1999,25
Ireland,1998,24
Ireland,1997,23
Ireland,1996,19
Ireland,1995,18
Ireland,1994,18
Ireland,1993,18
Ireland,1992,17
Ireland,1991,17
Ireland,1990,16
Italy,2016,11162
Italy,2015,10856
Italy,2014,10463
Italy,2013,10775
Italy,2012,10759
Italy,2011,10793
Italy,2010,10666
Italy,2009,10535
Italy,2008,10839
Italy,2007,10404
Italy,2006,10219
Italy,2005,9918
Italy,2004,9602
Italy,2003,9464
Italy,2002,8967
Italy,2001,8567
Italy,2000,8514
Italy,1999,8289
Italy,1998,8275
Italy,1997,8110
Italy,1996,8123
Italy,1995,7751
Italy,1994,7332
Italy,1993,7158
Italy,1992,7191
Italy,1991,7051
Italy,1990,6725
Japan,2016,17604
Japan,2015,17604
Japan,2014,17604
Japan,2013,17721
Japan,2012,17675
Japan,2011,17757
